O*NET-SOC 2010 (CÓDIGO),O*NET-SOC 2010 (NOME),2010 SOC (CÓDIGO),2010 SOC (TÍTULO),Isco08 (CÓDIGO),Isco08 (TÍTULO),PNAD CONTÍNUA _ COD(CÓDIGO),PNAD CONTÍNUA _COD(TÍTULO),CBO CÓDIGO,CBO TÍTULO
43-9111.01,Bioinformatics Technicians,43-9111,Statistical Assistants,3314,"Statistical, mathematical and related associate professionals",3314,"Profissionais de nível médio de serviços estatísticos, matemáticos e afins",203105,Pesquisador em ciências da computação e informática
19-4099.00,"Life, Physical, and Social Science Technicians, All Other",19-4099,"Life, Physical, and Social Science Technicians, All Other",3111,Chemical and physical science technicians,3111,Técnicos em ciências físicas e químicas,311510,Técnico de meteorologia
19-4099.01,Quality Control Analysts,19-4099,"Life, Physical, and Social Science Technicians, All Other",3111,Chemical and physical science technicians,3111,Técnicos em ciências físicas e químicas,311510,Técnico de meteorologia
19-4099.02,Precision Agriculture Technicians,19-4099,"Life, Physical, and Social Science Technicians, All Other",3111,Chemical and physical science technicians,3111,Técnicos em ciências físicas e químicas,311510,Técnico de meteorologia
19-4099.03,Remote Sensing Technicians,19-4099,"Life, Physical, and Social Science Technicians, All Other",3111,Chemical and physical science technicians,3111,Técnicos em ciências físicas e químicas,311510,Técnico de meteorologia
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21-1011,Substance Abuse and Behavioral Disorder Counselors,2635,Social work and counselling professionals,2635,Assistentes sociais,251605,Assistente social
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",21-1012,"Educational, Guidance, School, and Vocational Counselors",2359,Teaching professionals not elsewhere classified,2359,Profissionais de ensino não classificados anteriormente,233205,Instrutor de aprendizagem e treinamento agropecuário
21-1013.00,Marriage and Family Therapists,21-1013,Marriage and Family Therapists,2635,Social work and counselling professionals,2635,Assistentes sociais,251605,Assistente social
21-1014.00,Mental Health Counselors,21-1014,Mental Health Counselors,2635,Social work and counselling professionals,2635,Assistentes sociais,251605,Assistente social
21-1015.00,Rehabilitation Counselors,21-1015,Rehabilitation Counselors,2635,Social work and counselling professionals,2635,Assistentes sociais,251605,Assistente social
21-1019.00,"Counselors, All Other",21-1019,"Counselors, All Other",2635,Social work and counselling professionals,2635,Assistentes sociais,251605,Assistente social
21-1021.00,"Child, Family, and School Social Workers",21-1021,"Child, Family, and School Social Workers",2635,Social work and counselling professionals,2635,Assistentes sociais,251605,Assistente social
21-1022.00,Healthcare Social Workers,21-1022,Healthcare Social Workers,2635,Social work and counselling professionals,2635,Assistentes sociais,251605,Assistente social
21-1023.00,Mental Health and Substance Abuse Social Workers,21-1023,Mental Health and Substance Abuse Social Workers,2635,Social work and counselling professionals,2635,Assistentes sociais,251605,Assistente social
21-1029.00,"Social Workers, All Other",21-1029,"Social Workers, All Other",2635,Social work and counselling professionals,2635,Assistentes sociais,251605,Assistente social
21-1091.00,Health Educators,21-1091,Health Educators,2263,Environmental and occupational health and hygiene professionals,2263,Profissionais da saúde e da higiene laboral e ambiental,254310,Agente de higiene e segurança
21-1092.00,Probation Officers and Correctional Treatment Specialists,21-1092,Probation Officers and Correctional Treatment Specialists,2635,Social work and counselling professionals,2635,Assistentes sociais,251605,Assistente social
21-1093.00,Social and Human Service Assistants,21-1093,Social and Human Service Assistants,3412,Social work associate professionals,3412,Trabalhadores e assistentes sociais de nível médio,251605,Assistente social
21-1094.00,Community Health Workers,21-1094,Community Health Workers,3253,Community health workers,3253,Trabalhadores comunitários da saúde,515105,Agente comunitário de saúde
21-1099.00,"Community and Social Service Specialists, All Other",21-1099,"Community and Social Service Specialists, All Other",2635,Social work and counselling professionals,2635,Assistentes sociais,251605,Assistente social
21-2011.00,Clergy,21-2011,Clergy,2636,Religious professionals,2636,"Ministros de cultos religiosos, missionários e afins",263105,Ministro de culto religioso
21-2021.00,"Directors, Religious Activities and Education",21-2021,"Directors, Religious Activities and Education",2636,Religious professionals,2636,"Ministros de cultos religiosos, missionários e afins",263105,Ministro de culto religioso
21-2099.00,"Religious Workers, All Other",21-2099,"Religious Workers, All Other",3413,Religious associate professionals,3413,Auxiliares leigos de religião,215110,Capitão de manobra da marinha mercante
23-1011.00,Lawyers,23-1011,Lawyers,2611,Lawyers,2611,Advogados e juristas,241005,Advogado
23-1012.00,Judicial Law Clerks,23-1012,Judicial Law Clerks,3411,Legal and related associate professionals,3411,Profissionais de nível médio do direito e serviços legais e afins,351405,Escrevente
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",2612,Judges,2612,Juízes,111325,Juiz de direito
23-1022.00,"Arbitrators, Mediators, and Conciliators",23-1022,"Arbitrators, Mediators, and Conciliators",2619,Legal professionals not elsewhere classified,2619,Profissionais em direito não classificados anteriormente,241210,Procurador autárquico
23-1023.00,"Judges, Magistrate Judges, and Magistrates",23-1023,"Judges, Magistrate Judges, and Magistrates",2612,Judges,2612,Juízes,111325,Juiz de direito
23-2011.00,Paralegals and Legal Assistants,23-2011,Paralegals and Legal Assistants,3411,Legal and related associate professionals,3411,Profissionais de nível médio do direito e serviços legais e afins,351405,Escrevente
23-2091.00,Court Reporters,23-2091,Court Reporters,3343,Administrative and executive secretaries,3343,Secretários executivos e administrativos,252305,Secretária(o) executiva(o)
23-2093.00,"Title Examiners, Abstractors, and Searchers",23-2093,"Title Examiners, Abstractors, and Searchers",3411,Legal and related associate professionals,3411,Profissionais de nível médio do direito e serviços legais e afins,351405,Escrevente
23-2099.00,"Legal Support Workers, All Other",23-2099,"Legal Support Workers, All Other",3411,Legal and related associate professionals,3411,Profissionais de nível médio do direito e serviços legais e afins,351405,Escrevente
25-1011.00,"Business Teachers, Postsecondary",25-1011,"Business Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1021.00,"Computer Science Teachers, Postsecondary",25-1021,"Computer Science Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1022.00,"Mathematical Science Teachers, Postsecondary",25-1022,"Mathematical Science Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1031.00,"Architecture Teachers, Postsecondary",25-1031,"Architecture Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1032.00,"Engineering Teachers, Postsecondary",25-1032,"Engineering Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",25-1041,"Agricultural Sciences Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1042.00,"Biological Science Teachers, Postsecondary",25-1042,"Biological Science Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",25-1043,"Forestry and Conservation Science Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1052.00,"Chemistry Teachers, Postsecondary",25-1052,"Chemistry Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1053.00,"Environmental Science Teachers, Postsecondary",25-1053,"Environmental Science Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1054.00,"Physics Teachers, Postsecondary",25-1054,"Physics Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",25-1061,"Anthropology and Archeology Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1063.00,"Economics Teachers, Postsecondary",25-1063,"Economics Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1064.00,"Geography Teachers, Postsecondary",25-1064,"Geography Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1065.00,"Political Science Teachers, Postsecondary",25-1065,"Political Science Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1066.00,"Psychology Teachers, Postsecondary",25-1066,"Psychology Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1067.00,"Sociology Teachers, Postsecondary",25-1067,"Sociology Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",25-1069,"Social Sciences Teachers, Postsecondary, All Other",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1071.00,"Health Specialties Teachers, Postsecondary",25-1071,"Health Specialties Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",25-1072,"Nursing Instructors and Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1081.00,"Education Teachers, Postsecondary",25-1081,"Education Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1082.00,"Library Science Teachers, Postsecondary",25-1082,"Library Science Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1112.00,"Law Teachers, Postsecondary",25-1112,"Law Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1113.00,"Social Work Teachers, Postsecondary",25-1113,"Social Work Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",25-1121,"Art, Drama, and Music Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1122.00,"Communications Teachers, Postsecondary",25-1122,"Communications Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1123.00,"English Language and Literature Teachers, Postsecondary",25-1123,"English Language and Literature Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",25-1124,"Foreign Language and Literature Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1125.00,"History Teachers, Postsecondary",25-1125,"History Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",25-1126,"Philosophy and Religion Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1191.00,Graduate Teaching Assistants,25-1191,Graduate Teaching Assistants,2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1192.00,"Home Economics Teachers, Postsecondary",25-1192,"Home Economics Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-1194.00,"Vocational Education Teachers, Postsecondary",25-1194,"Vocational Education Teachers, Postsecondary",2320,Vocational education teachers,2320,Professores de formação profissional,332205,Professor prático no ensino profissionalizante
25-1199.00,"Postsecondary Teachers, All Other",25-1199,"Postsecondary Teachers, All Other",2310,University and higher education teachers,2310,Professores de universidades e do ensino superior,203515,Pesquisador em ciências da educação
25-2011.00,"Preschool Teachers, Except Special Education",25-2011,"Preschool Teachers, Except Special Education",2342,Early childhood educators,2342,Professores do ensino pré-escolar,231105,Professor de nível superior na educação infantil (quatro a seis anos)
25-2012.00,"Kindergarten Teachers, Except Special Education",25-2012,"Kindergarten Teachers, Except Special Education",2342,Early childhood educators,2342,Professores do ensino pré-escolar,231105,Professor de nível superior na educação infantil (quatro a seis anos)
25-2021.00,"Elementary School Teachers, Except Special Education",25-2021,"Elementary School Teachers, Except Special Education",2341,Primary school teachers,2341,Professores do ensino fundamental,231305,Professor de ciências exatas e naturais do ensino fundamental
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",2341,Primary school teachers,2341,Professores do ensino fundamental,231305,Professor de ciências exatas e naturais do ensino fundamental
25-2023.00,"Career/Technical Education Teachers, Middle School",25-2023,"Career/Technical Education Teachers, Middle School",2320,Vocational education teachers,2320,Professores de formação profissional,331305,Professor de nível médio no ensino profissionalizante
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",2330,Secondary education teachers,2330,Professores do ensino médio,232105,Professor de artes no ensino médio
25-2032.00,"Career/Technical Education Teachers, Secondary School",25-2032,"Career/Technical Education Teachers, Secondary School",2320,Vocational education teachers,2320,Professores de formação profissional,331305,Professor de nível médio no ensino profissionalizante
25-2051.00,"Special Education Teachers, Preschool",25-2051,"Special Education Teachers, Preschool",2352,Special needs teachers,2352,Educadores para necessidades especiais,239205,Professor de alunos com deficiência auditiva e surdos
25-2052.00,"Special Education Teachers, Kindergarten and Elementary School",25-2052,"Special Education Teachers, Kindergarten and Elementary School",2352,Special needs teachers,2352,Educadores para necessidades especiais,239205,Professor de alunos com deficiência auditiva e surdos
25-2053.00,"Special Education Teachers, Middle School",25-2053,"Special Education Teachers, Middle School",2352,Special needs teachers,2352,Educadores para necessidades especiais,239205,Professor de alunos com deficiência auditiva e surdos
25-2054.00,"Special Education Teachers, Secondary School",25-2054,"Special Education Teachers, Secondary School",2352,Special needs teachers,2352,Educadores para necessidades especiais,239205,Professor de alunos com deficiência auditiva e surdos
25-2059.00,"Special Education Teachers, All Other",25-2059,"Special Education Teachers, All Other",2352,Special needs teachers,2352,Educadores para necessidades especiais,239205,Professor de alunos com deficiência auditiva e surdos
25-2059.01,Adapted Physical Education Specialists,25-2059,"Special Education Teachers, All Other",2352,Special needs teachers,2352,Educadores para necessidades especiais,239205,Professor de alunos com deficiência auditiva e surdos
25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,2353,Other language teachers,2353,Outros professores de idiomas,332205,Professor prático no ensino profissionalizante
25-3021.00,Self-Enrichment Education Teachers,25-3021,Self-Enrichment Education Teachers,2353,Other language teachers,2353,Outros professores de idiomas,331305,Professor de nível médio no ensino profissionalizante
25-3099.00,"Teachers and Instructors, All Other",25-3099,"Teachers and Instructors, All Other",2353,Other language teachers,2353,Outros professores de idiomas,232115,Professor de disciplinas pedagógicas no ensino médio
25-3099.02,Tutors,25-3099,"Teachers and Instructors, All Other",2353,Other language teachers,2353,Outros professores de idiomas,332205,Professor prático no ensino profissionalizante
25-4011.00,Archivists,25-4011,Archivists,2621,Archivists and curators,2621,Arquivologistas e curadores de museus,261305,Arquivista
25-4012.00,Curators,25-4012,Curators,2621,Archivists and curators,2621,Arquivologistas e curadores de museus,261305,Arquivista
25-4013.00,Museum Technicians and Conservators,25-4013,Museum Technicians and Conservators,3433,"Gallery, museum and library technicians",3433,"Técnicos em galerias de arte, museus e bibliotecas",328105,Embalsamador
25-4021.00,Librarians,25-4021,Librarians,2622,Librarians and related information professionals,2622,"Bibliotecários, documentaristas e afins",261205,Bibliotecário
25-4031.00,Library Technicians,25-4031,Library Technicians,3433,"Gallery, museum and library technicians",3433,"Técnicos em galerias de arte, museus e bibliotecas",328105,Embalsamador
25-9011.00,Audio-Visual and Multimedia Collections Specialists,25-9011,Audio-Visual and Multimedia Collections Specialists,2622,Librarians and related information professionals,2622,"Bibliotecários, documentaristas e afins",261205,Bibliotecário
25-9021.00,Farm and Home Management Advisors,25-9021,Farm and Home Management Advisors,2132,"Farming, forestry and fisheries advisers",2132,Agrônomos e afins,203405,Pesquisador em ciências agronômicas
25-9031.00,Instructional Coordinators,25-9031,Instructional Coordinators,2351,Education methods specialists,2351,Especialistas em métodos pedagógicos,239405,Coordenador pedagógico
25-9031.01,Instructional Designers and Technologists,25-9031,Instructional Coordinators,2351,Education methods specialists,2351,Especialistas em métodos pedagógicos,239405,Coordenador pedagógico
25-9041.00,Teacher Assistants,25-9041,Teacher Assistants,5312,Teachers' aides,5312,Ajudantes de professores,332105,Professor leigo no ensino fundamental
25-9099.00,"Education, Training, and Library Workers, All Other",25-9099,"Education, Training, and Library Workers, All Other",2359,Teaching professionals not elsewhere classified,2359,Profissionais de ensino não classificados anteriormente,233205,Instrutor de aprendizagem e treinamento agropecuário
27-1011.00,Art Directors,27-1011,Art Directors,2654,"Film, stage and related directors and producers",2654,"Diretores de cinema, de teatro e afins",261115,Diretor de redação
27-1012.00,Craft Artists,27-1012,Craft Artists,2651,Visual artists,2651,Artistas plásticos,262405,Artista (artes visuais)
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",2651,Visual artists,2651,Artistas plásticos,262405,Artista (artes visuais)
27-1014.00,Multimedia Artists and Animators,27-1014,Multimedia Artists and Animators,2166,Graphic and multimedia designers,2166,Desenhistas gráficos e de multimídia,376305,Apresentador de eventos
27-1019.00,"Artists and Related Workers, All Other",27-1019,"Artists and Related Workers, All Other",3435,Other artistic and cultural associate professionals,3435,Outros profissionais de nível médio em atividades culturais e artísticas,262405,Artista (artes visuais)
27-1021.00,Commercial and Industrial Designers,27-1021,Commercial and Industrial Designers,2163,Product and garment designers,2163,Desenhistas de produtos e  vestuário,375110,Designer de vitrines
27-1022.00,Fashion Designers,27-1022,Fashion Designers,2163,Product and garment designers,2163,Desenhistas de produtos e  vestuário,375110,Designer de vitrines
27-1023.00,Floral Designers,27-1023,Floral Designers,7549,Craft and related workers not elsewhere classified,7549,Outros trabalhadores qualificados e operários da indústria e do artesanato não classificados anteriormente,811705,Bamburista
27-1024.00,Graphic Designers,27-1024,Graphic Designers,2166,Graphic and multimedia designers,2166,Desenhistas gráficos e de multimídia,262410,Desenhista Industrial Gráfico (Designer Gráfico)
27-1025.00,Interior Designers,27-1025,Interior Designers,3432,Interior designers and decorators,3432,Desenhistas e decoradores de interiores,375105,Designer de interiores
27-1026.00,Merchandise Displayers and Window Trimmers,27-1026,Merchandise Displayers and Window Trimmers,3432,Interior designers and decorators,3432,Desenhistas e decoradores de interiores,375105,Designer de interiores
27-1027.00,Set and Exhibit Designers,27-1027,Set and Exhibit Designers,3432,Interior designers and decorators,3432,Desenhistas e decoradores de interiores,375105,Designer de interiores
27-1029.00,"Designers, All Other",27-1029,"Designers, All Other",2163,Product and garment designers,2163,Desenhistas de produtos e  vestuário,375110,Designer de vitrines
27-2011.00,Actors,27-2011,Actors,2655,Actors,2655,Atores,262505,Ator
27-2012.00,Producers and Directors,27-2012,Producers and Directors,2654,"Film, stage and related directors and producers",2654,"Diretores de cinema, de teatro e afins",261115,Diretor de redação
27-2012.01,Producers,27-2012,Producers and Directors,2654,"Film, stage and related directors and producers",2654,"Diretores de cinema, de teatro e afins",261115,Diretor de redação
27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",27-2012,Producers and Directors,2654,"Film, stage and related directors and producers",2654,"Diretores de cinema, de teatro e afins",261115,Diretor de redação
27-2012.03,Program Directors,27-2012,Producers and Directors,2654,"Film, stage and related directors and producers",2654,"Diretores de cinema, de teatro e afins",261115,Diretor de redação
27-2012.04,Talent Directors,27-2012,Producers and Directors,2654,"Film, stage and related directors and producers",2654,"Diretores de cinema, de teatro e afins",261115,Diretor de redação
27-2012.05,Technical Directors/Managers,27-2012,Producers and Directors,2654,"Film, stage and related directors and producers",2654,"Diretores de cinema, de teatro e afins",261115,Diretor de redação
27-2021.00,Athletes and Sports Competitors,27-2021,Athletes and Sports Competitors,3421,Athletes and sports players,3421,Atletas e esportistas,377105,Atleta profissional (outras modalidades)
27-2022.00,Coaches and Scouts,27-2022,Coaches and Scouts,3422,"Sports coaches, instructors and officials",3422,"Treinadores, instrutores e árbitros de atividades esportivas",224105,Avaliador físico
27-2023.00,"Umpires, Referees, and Other Sports Officials",27-2023,"Umpires, Referees, and Other Sports Officials",3422,"Sports coaches, instructors and officials",3422,"Treinadores, instrutores e árbitros de atividades esportivas",224105,Avaliador físico
27-2031.00,Dancers,27-2031,Dancers,2653,Dancers and choreographers,2653,Bailarinos e coreógrafos,262805,Assistente de coreografia
27-2032.00,Choreographers,27-2032,Choreographers,2653,Dancers and choreographers,2653,Bailarinos e coreógrafos,262805,Assistente de coreografia
27-2041.00,Music Directors and Composers,27-2041,Music Directors and Composers,2652,"Musicians, singers and composers",2652,"Músicos, cantores e compositores",262605,Compositor
27-2041.01,Music Directors,27-2041,Music Directors and Composers,2652,"Musicians, singers and composers",2652,"Músicos, cantores e compositores",262605,Compositor
27-2041.04,Music Composers and Arrangers,27-2041,Music Directors and Composers,2652,"Musicians, singers and composers",2652,"Músicos, cantores e compositores",262605,Compositor
27-2042.00,Musicians and Singers,27-2042,Musicians and Singers,2652,"Musicians, singers and composers",2652,"Músicos, cantores e compositores",262605,Compositor
27-2042.01,Singers,27-2042,Musicians and Singers,2652,"Musicians, singers and composers",2652,"Músicos, cantores e compositores",262605,Compositor
27-2042.02,"Musicians, Instrumental",27-2042,Musicians and Singers,2652,"Musicians, singers and composers",2652,"Músicos, cantores e compositores",262605,Compositor
27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other",27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",2659,Creative and performing artists not elsewhere classified,2659,Artistas criativos e interpretativos não classificados anteriormente,376205,Acrobata
27-3011.00,Radio and Television Announcers,27-3011,Radio and Television Announcers,2656,"Announcers on radio, television and other media",2656,"Locutores de rádio, televisão e outros meios de comunicação",261705,Âncora de mídias audiovisuais
27-3012.00,Public Address System and Other Announcers,27-3012,Public Address System and Other Announcers,2656,"Announcers on radio, television and other media",2656,"Locutores de rádio, televisão e outros meios de comunicação",261705,Âncora de mídias audiovisuais
27-3021.00,Broadcast News Analysts,27-3021,Broadcast News Analysts,2656,"Announcers on radio, television and other media",2656,"Locutores de rádio, televisão e outros meios de comunicação",261705,Âncora de mídias audiovisuais
27-3022.00,Reporters and Correspondents,27-3022,Reporters and Correspondents,2642,Journalists,2642,Jornalistas,261105,Arquivista pesquisador (jornalismo)
27-3031.00,Public Relations Specialists,27-3031,Public Relations Specialists,2432,Public relations professionals,2432,Profissionais de relações públicas,261110,Assessor de imprensa
27-3041.00,Editors,27-3041,Editors,2641,Authors and related writers,2641,Escritores,261120,Editor
27-3042.00,Technical Writers,27-3042,Technical Writers,2641,Authors and related writers,2641,Escritores,261120,Editor
27-3043.00,Writers and Authors,27-3043,Writers and Authors,2431,Advertising and marketing professionals,2431,Profissionais da publicidade e da comercialização,253110,Redator de publicidade
27-3043.04,Copy Writers,27-3043,Writers and Authors,2431,Advertising and marketing professionals,2431,Profissionais da publicidade e da comercialização,253110,Redator de publicidade
27-3043.05,"Poets, Lyricists and Creative Writers",27-3043,Writers and Authors,2431,Advertising and marketing professionals,2431,Profissionais da publicidade e da comercialização,253110,Redator de publicidade
27-3091.00,Interpreters and Translators,27-3091,Interpreters and Translators,2643,"Translators, interpreters and other linguists",2643,"Tradutores, intérpretes e linguistas",251405,Filósofo
27-3099.00,"Media and Communication Workers, All Other",27-3099,"Media and Communication Workers, All Other",3435,Other artistic and cultural associate professionals,3435,Outros profissionais de nível médio em atividades culturais e artísticas,253405,Analista de mídias sociais
27-4011.00,Audio and Video Equipment Technicians,27-4011,Audio and Video Equipment Technicians,3521,Broadcasting and audio-visual technicians,3521,Técnicos de radiodifusão e gravação audiovisual,372110,Iluminador (televisão)
27-4012.00,Broadcast Technicians,27-4012,Broadcast Technicians,3521,Broadcasting and audio-visual technicians,3521,Técnicos de radiodifusão e gravação audiovisual,372110,Iluminador (televisão)
27-4013.00,Radio Operators,27-4013,Radio Operators,3521,Broadcasting and audio-visual technicians,3521,Técnicos de radiodifusão e gravação audiovisual,372110,Iluminador (televisão)
27-4014.00,Sound Engineering Technicians,27-4014,Sound Engineering Technicians,3521,Broadcasting and audio-visual technicians,3521,Técnicos de radiodifusão e gravação audiovisual,372110,Iluminador (televisão)
27-4021.00,Photographers,27-4021,Photographers,3431,Photographers,3431,Fotógrafos,261805,Fotógrafo
27-4031.00,"Camera Operators, Television, Video, and Motion Picture",27-4031,"Camera Operators, Television, Video, and Motion Picture",3521,Broadcasting and audio-visual technicians,3521,Técnicos de radiodifusão e gravação audiovisual,372110,Iluminador (televisão)
27-4032.00,Film and Video Editors,27-4032,Film and Video Editors,2654,"Film, stage and related directors and producers",2654,"Diretores de cinema, de teatro e afins",261115,Diretor de redação
27-4099.00,"Media and Communication Equipment Workers, All Other",27-4099,"Media and Communication Equipment Workers, All Other",3435,Other artistic and cultural associate professionals,3435,Outros profissionais de nível médio em atividades culturais e artísticas,373105,Operador de mídia audiovisual
29-1011.00,Chiropractors,29-1011,Chiropractors,2269,Health professionals not elsewhere classified,2269,Profissionais da saúde não classificados anteriormente,322105,Técnico em acupuntura
29-1021.00,"Dentists, General",29-1021,"Dentists, General",2261,Dentists,2261,Dentistas,223204,Cirurgião dentista - auditor
29-1022.00,Oral and Maxillofacial Surgeons,29-1022,Oral and Maxillofacial Surgeons,2261,Dentists,2261,Dentistas,223204,Cirurgião dentista - auditor
29-1023.00,Orthodontists,29-1023,Orthodontists,2261,Dentists,2261,Dentistas,223204,Cirurgião dentista - auditor
29-1024.00,Prosthodontists,29-1024,Prosthodontists,2261,Dentists,2261,Dentistas,223204,Cirurgião dentista - auditor
29-1029.00,"Dentists, All Other Specialists",29-1029,"Dentists, All Other Specialists",2261,Dentists,2261,Dentistas,223204,Cirurgião dentista - auditor
29-1031.00,Dietitians and Nutritionists,29-1031,Dietitians and Nutritionists,2265,Dieticians and nutritionists,2265,Dietistas e nutricionistas,223710,Nutricionista
29-1041.00,Optometrists,29-1041,Optometrists,2267,Optometrists and ophthalmic opticians,2267,Optometristas,322305,Técnico em óptica e optometria
29-1051.00,Pharmacists,29-1051,Pharmacists,2262,Pharmacists,2262,Farmacêuticos,223405,Farmacêutico
